pid,pname,pcategory,purchaseprice,saleprice,pstock,pdescription,pimage,profit,barcode,status,sold,withdraw,stockup,stockout,supplier,stkprice,wholeprice,last_update,last_wupdate,expiry_date,is_promo
222,DJI MAVIC PRO GIMBAL BOARD,DJI,160,350,1,"","",190,DCP-222,"",3,"0","0","0",9,"0","0","","","","0"
223,DJI MINI 4 PRO GIMBAL ROLL MOTOR COVER,DJI,20,30,5,"","",10,DCP-223,"",5,"0","0","0",9,"0","0","","","","0"
224,DJI MAVIC PRO CONTROLLER CHARGING BOARD,DJI,50,180,"0","","",130,DCP-224,"",1,"0","0","0",9,"0","0","","","","0"
225,DJI MAVIC 3 CLASSIC FRONT LEFT ARM,DJI,130,390,1,"","",260,DCP-225,"",1,"0","0","0",9,"0","0","","","","0"
226,DJI MAVIC 3 CLASSIC REPLACE 360 OBSTACLE SENSOR MODULE,DJI,1800,1800,"0","","","0",DCP-226,"",1,"0","0","0",9,"0","0","","","","0"
227,DJI MAVIC AIR 2/2S REAR SENSOR MODULE,DJI,110,380,1,"","",270,DCP-227,"",1,"0","0","0",10,"0","0","","","","0"
228,DJI MAVIC AIR REAR LEFT ARM,DJI,80,180,9,"","",100,DCP-228,"",1,"0","0","0",10,"0","0","","","","0"
229,DJI MAVIC 3 MIDDLE SHELL,DJI,120,450,"0","","",330,DCP-229,"",1,"0","0","0",10,"0","0","","","","0"
230,DJI MAVIC AIR 3/3S REAR LEFT ARM,DJI,150,320,4,"","",170,DCP-230,"",1,"0","0","0",10,"0","0","","","","0"
231,DJI MAVIC 2 CONTROLLER CHARGING BOARD,DJI,50,180,"0","","",130,DCP-231,"",1,"0","0","0",9,"0","0","","","","0"
232,DJI MAVIC 3 FRONT LEFT ARM ,DJI,130,390,2,"","",260,DCP-232,"",1,"0","0","0",10,"0","0","","","","0"
233,DJI MAVIC 3 FRONT HINGE,DJI,30,90,"0","","",60,DCP-233,"",1,"0","0","0",9,"0","0","","","","0"
234,REPAIR DJI REMOTE RC - N1,DJI,50,180,"0","","",130,DCP-234,"",1,"0","0","0",9,"0","0","","","","0"
235,DJI NEO GIMBAL REALIGNMENT & WORKMANSHIP,DJI,"0",100,"0","","",100,DCP-235,"","0","0","0","0",9,"0","0","","","","0"
236,"DJI NEO MAIN BOARD, DOWNWARD SENSOR & GIMBAL CAMERA",DJI,200,400,"0","","",200,DCP-236,"",1,"0","0","0",9,"0","0","","","","0"
237,"DJI MAVIC MINI, MINI SE , MINI 2 & MINI 2SE GIMBAL SIDE RUBBER",DJI,"0",10,"0","","",10,DCP-237,"",1,"0","0","0",9,"0","0","","","","0"
238,"WORKMANSHIP, RECALIBRATE VISION SENSOR, IMU, CHECK, AND TEST",DJI,"0",100,"0","","",100,DCP-238,"",2,"0","0","0",9,"0","0","","","","0"
239,DJI MINI 4 PRO ESC BOARD,DJI,200,320,7,"","",120,DCP-239,"",3,"0","0","0",10,"0","0","","","","0"
240,DJI MAVIC 2 BAG,DJI,"0",80,8,"","",80,DCP-240,"",1,"0","0","0",8,"0","0","","","","0"
241,DJI AIR 2 BOTTOM COVER,DJI,100,180,2,"","",80,DCP-241,"",2,"0","0","0",10,"0","0","","","","0"
242,DJI MINI 4K PTZ CABLE,DJI,"0",180,"0","","",180,DCP-242,"",2,"0","0","0",8,"0","0","","","","0"
243,DJI MAVIC 3 SERIES ESC BOARD,DJI,310,480,1,"","",170,DCP-370,"",1,"0","0","0",5,"0","0","","","","0"
244,DJI MAVIC PRO ESC BOARD,DJI,100,650,"0","","",550,DCP-370,"",5,"0","0","0",8,"0","0","","","","0"
245,DJI MAVIC PRO PROPELLER SET,ACCESSORIES,"0",70,"0","","",70,DCP-245,"",4,"0","0","0",9,"0","0","","","","0"
246,DJI MAVIC PRO FRONT LEFT ARM,DJI,85,230,9,"","",145,DCP-246,"",2,"0","0","0",10,"0","0","","","","0"
247,DJI MAVIC PRO FRONT RIGHT ARM,DJI,85,230,8,"","",145,DCP-247,"",3,"0","0","0",10,"0","0","","","","0"
